STATION,NAME,DATE,PRCP,TMAX
UKM00003772,"HEATHROW, UK",14/11/1991,,45
UKM00003772,"HEATHROW, UK",15/11/1991,,48
UKM00003772,"HEATHROW, UK",16/11/1991,0,49
UKM00003772,"HEATHROW, UK",17/11/1991,0.01,
UKM00003772,"HEATHROW, UK",18/11/1991,0.04,
UKM00003772,"HEATHROW, UK",19/11/1991,1.26,47
UKM00003772,"HEATHROW, UK",20/11/1991,0,46
UKM00003772,"HEATHROW, UK",21/11/1991,,
UKM00003772,"HEATHROW, UK",22/11/1991,0,49
UKM00003772,"HEATHROW, UK",23/11/1991,0,51
UKM00003772,"HEATHROW, UK",24/11/1991,,
UKM00003772,"HEATHROW, UK",25/11/1991,,
UKM00003772,"HEATHROW, UK",26/11/1991,,
UKM00003772,"HEATHROW, UK",27/11/1991,,
UKM00003772,"HEATHROW, UK",28/11/1991,,54
UKM00003772,"HEATHROW, UK",29/11/1991,0,55
UKM00003772,"HEATHROW, UK",30/11/1991,,
UKM00003772,"HEATHROW, UK",01/12/1991,,
UKM00003772,"HEATHROW, UK",02/12/1991,,48
UKM00003772,"HEATHROW, UK",03/12/1991,0,46
UKM00003772,"HEATHROW, UK",04/12/1991,0,
UKM00003772,"HEATHROW, UK",05/12/1991,,47
UKM00003772,"HEATHROW, UK",06/12/1991,0,45
UKM00003772,"HEATHROW, UK",07/12/1991,,43
UKM00003772,"HEATHROW, UK",08/12/1991,,
UKM00003772,"HEATHROW, UK",09/12/1991,,41
UKM00003772,"HEATHROW, UK",10/12/1991,,38
UKM00003772,"HEATHROW, UK",11/12/1991,0,34
UKM00003772,"HEATHROW, UK",12/12/1991,,33
UKM00003772,"HEATHROW, UK",13/12/1991,0,45
UKM00003772,"HEATHROW, UK",14/12/1991,,30
UKM00003772,"HEATHROW, UK",15/12/1991,,
UKM00003772,"HEATHROW, UK",16/12/1991,0.08,49
UKM00003772,"HEATHROW, UK",17/12/1991,0.12,
UKM00003772,"HEATHROW, UK",18/12/1991,0.12,
UKM00003772,"HEATHROW, UK",19/12/1991,0.09,56
UKM00003772,"HEATHROW, UK",20/12/1991,,
UKM00003772,"HEATHROW, UK",21/12/1991,0.06,56
UKM00003772,"HEATHROW, UK",22/12/1991,0,
UKM00003772,"HEATHROW, UK",23/12/1991,0,56
UKM00003772,"HEATHROW, UK",24/12/1991,,
UKM00003772,"HEATHROW, UK",25/12/1991,,
UKM00003772,"HEATHROW, UK",26/12/1991,0,52
UKM00003772,"HEATHROW, UK",27/12/1991,,48
UKM00003772,"HEATHROW, UK",28/12/1991,0,
UKM00003772,"HEATHROW, UK",29/12/1991,0,47
UKM00003772,"HEATHROW, UK",30/12/1991,0,45
UKM00003772,"HEATHROW, UK",31/12/1991,0.01,46
UKM00003772,"HEATHROW, UK",01/01/1992,0,51
UKM00003772,"HEATHROW, UK",02/01/1992,0,
UKM00003772,"HEATHROW, UK",03/01/1992,0,
UKM00003772,"HEATHROW, UK",04/01/1992,0.12,
UKM00003772,"HEATHROW, UK",05/01/1992,0.09,56
