Year,Month,Max_temperature,Min_temperature,Precipitation
1893,7,21.6,12.5,0
1893,8,23.2,13,0
1893,9,18.6,8.9,0
1893,10,14.3,6.6,1
1893,11,8.2,1.7,12
1893,12,7.8,1.3,5
1894,1,6.1,1.2,9
1894,2,8.6,2.2,7
1894,3,11.8,2.2,5
1894,4,15,5.1,0
1894,5,14.1,5.3,1
1894,6,18.2,9.9,0
1894,7,20.6,12,0
1894,8,18.6,11,0
1894,9,16,8.3,0
1894,10,12.5,6.9,1
1894,11,10.6,5.4,0
1894,12,7.5,2.8,9
1895,1,3.1,-1.8,20
1895,2,1.8,-5.3,24
1895,3,10,2,9
1895,4,13.1,5,1
1895,5,19,7.3,0
1895,6,21.4,9.8,0
1895,7,20.4,12.2,0
1895,8,20.5,12.1,0
1895,9,22.4,9.9,0
1895,10,11.6,3.9,8
1895,11,11.1,5.4,1
1895,12,6.8,1.9,6
1896,1,7.2,2.4,5
1896,2,8,1.4,9
1896,3,11.4,4.3,3
1896,4,14,5.4,0
1896,5,18.2,6.6,1
1896,6,21.9,12,0
1896,7,22.8,12.1,0
1896,8,19.6,10.6,0
1896,9,17,10.7,0
1896,10,11.5,4.5,3
1896,11,7.8,1.6,8
1896,12,6.7,1.7,11
1897,1,3.9,-0.2,15
1897,2,8.8,4.1,2
1897,3,10.6,4.1,3
1897,4,11.6,4.1,2
1897,5,15.7,5.7,1
1897,6,20.6,11.2,0
1897,7,22.4,12.3,0
1897,8,20.9,12.1,0
1897,9,16.7,8.9,0
1897,10,14.2,6.3,0
1897,11,10.2,4.3,2
1897,12,7.6,1.9,10
1898,1,8.6,4.2,5
1898,2,8.5,2,7
1898,3,8.5,0.6,15
1898,4,13.6,3.7,4
1898,5,14.8,6.8,0
1898,6,18.8,9.5,0
1898,7,21.3,11.1,0
1898,8,22.4,12.5,0
1898,9,22.2,10,0
1898,10,14.6,8.4,0
1898,11,10.4,4.7,3
1898,12,10.1,5.1,4
1899,1,8.5,2.9,5
1899,2,9.5,2.1,10
1899,3,10.6,0.4,16
1899,4,12.2,5.1,2
1899,5,15.4,6.2,0
1899,6,22,10.3,0
1899,7,23.8,13.3,0
1899,8,24.9,12.3,0
1899,9,18.6,10.3,0
1899,10,14.1,4.7,2
1899,11,11.3,5.4,3
1899,12,5,-0.2,14
1900,1,7.2,2.1,5
1900,2,6,0.7,14
1900,3,7.2,0.9,8
1900,4,13.8,3.8,3
1900,5,15.2,6.3,0
1900,6,19.5,10.6,0
1900,7,24.3,13.4,0
1900,8,20.4,11.5,0
1900,9,19.6,9.2,0
1900,10,14.2,6.7,0
1900,11,10.3,5.4,2
1900,12,10.2,5,2
1901,1,6,1,15
1901,2,4.9,0.1,13
1901,3,7.6,1.2,8
1901,4,14,4.3,1
1901,5,17.4,6.2,1
1901,6,19.8,9.4,0
1901,7,23.8,13.2,0
1901,8,21.4,11.5,0
1901,9,18.5,10,0
1901,10,14.1,6.2,3
1901,11,8.1,1.7,11
1901,12,6.4,0.9,12
1902,1,7.8,2.6,10
1902,2,4.7,-0.5,18
1902,3,11,3.8,4
1902,4,12.7,3.5,4
1902,5,13.8,5.4,1
1902,6,18.5,9.8,0
1902,7,20.5,11,0
1902,8,19.6,11.1,0
1902,9,18,8.5,0
1902,10,13,6.8,0
1902,11,9.6,4.5,4
1902,12,7,2.5,7
1903,1,6.9,2.4,8
1903,2,10.5,4.5,1
1903,3,11.1,4.3,0
1903,4,11,2.6,9
1903,5,16.2,7.2,0
1903,6,17.5,8.9,0
1903,7,20.7,11.9,0
1903,8,18.8,10.9,0
1903,9,17.8,9.7,0
1903,10,14,8.5,0
1903,11,9.6,3.9,4
1903,12,5.7,1.6,10
1904,1,6.8,1.4,10
1904,2,6.4,1.5,8
1904,3,8.3,1.6,7
1904,4,13.8,5.4,0
1904,5,15.6,7.4,0
1904,6,18.8,9.2,0
1904,7,23.2,13,0
1904,8,20.6,11,0
1904,9,17.3,7.9,0
1904,10,13.5,6.3,1
1904,11,8.5,2,11
1904,12,6.4,1.6,11
1905,1,6.3,0.4,15
1905,2,8.4,3.2,2
1905,3,11.1,3.9,2
1905,4,11.5,4.5,1
1905,5,16.7,6.1,1
1905,6,19.5,10.9,0
1905,7,23.3,13.4,0
1905,8,19.7,11.4,0
1905,9,16.8,9.4,0
1905,10,11.4,3.8,6
1905,11,8.3,2.2,7
1905,12,7,2.2,7
1906,1,8.4,3.1,3
1906,2,6.6,0.7,10
1906,3,9.3,2.1,9
1906,4,13.8,2.1,9
1906,5,15.5,7.2,0
1906,6,20.2,9.3,0
1906,7,22.2,11.6,0
1906,8,23.4,12.6,0
1906,9,20.4,9.4,0
1906,10,14.9,8.3,0
1906,11,10.5,4.7,3
1906,12,6.2,0.6,13
1907,1,6.3,1.1,10
1907,2,6.3,0.3,13
1907,3,12.1,1.8,8
1907,4,12.6,4.1,1
1907,5,15.9,7.3,0
1907,6,16.8,9.5,0
1907,7,19.2,10.4,0
1907,8,19.3,11,0
1907,9,19.7,9,0
1907,10,13.7,7,0
1907,11,10.2,4.2,2
1907,12,7.8,3,3
1908,1,5.5,-0.4,18
1908,2,8.6,2.7,4
1908,3,8.3,1.5,6
1908,4,10.4,2.4,10
1908,5,17.6,9,0
1908,6,20.5,9.8,0
1908,7,21.5,12.2,0
1908,8,20,10.7,0
1908,9,17,9.4,0
1908,10,16.1,8.1,1
1908,11,11.1,5,3
1908,12,6.5,1.6,5
1909,1,6.2,1.1,12
1909,2,6.5,-0.6,17
1909,3,7.1,1.2,9
1909,4,15.1,3.5,5
1909,5,17.3,5.4,0
1909,6,16.1,8.8,0
1909,7,19.6,11.7,0
1909,8,21.2,11.7,0
1909,9,16.1,9.1,0
1909,10,14.1,8.1,2
1909,11,8.3,2.3,10
